VARIABLE="X","Y","DISPLACEMENT"
ZONE I=121, J=121, F=POINT
-175.0 	-290.0   5.3475
-170.0 	-290.0   5.52
-165.0 	-290.0   5.6875
-160.0 	-290.0   5.85
-155.0 	-290.0   6.0075
-150.0 	-290.0   6.16
-145.0 	-290.0   6.3075
-140.0 	-290.0   6.45
-135.0 	-290.0   6.5875
-130.0 	-290.0   6.72
-125.0 	-290.0   6.8475
-120.0 	-290.0   6.97
-115.0 	-290.0   7.0875
-110.0 	-290.0   7.2
-105.0 	-290.0   7.3075
-100.0 	-290.0   7.41
-95.0 	-290.0   7.5075
-90.0 	-290.0   7.6
-85.0 	-290.0   7.6875
-80.0 	-290.0   7.77
-75.0 	-290.0   7.8475
-70.0 	-290.0   7.92
-65.0 	-290.0   7.9875
-60.0 	-290.0   8.05
-55.0 	-290.0   8.1075
-50.0 	-290.0   8.16
-45.0 	-290.0   8.2075
-40.0 	-290.0   8.25
-35.0 	-290.0   8.2875
-30.0 	-290.0   8.32
-25.0 	-290.0   8.3475
-20.0 	-290.0   8.37
-15.0 	-290.0   8.3875
-10.0 	-290.0   8.4
-5.0 	-290.0   8.4075
0.0 	-290.0   8.41
5.0 	-290.0   8.4075
10.0 	-290.0   8.4
15.0 	-290.0   8.3875
20.0 	-290.0   8.37
25.0 	-290.0   8.3475
30.0 	-290.0   8.32
35.0 	-290.0   8.2875
40.0 	-290.0   8.25
45.0 	-290.0   8.2075
50.0 	-290.0   8.16
55.0 	-290.0   8.1075
60.0 	-290.0   8.05
65.0 	-290.0   7.9875
70.0 	-290.0   7.92
75.0 	-290.0   7.8475
80.0 	-290.0   7.77
85.0 	-290.0   7.6875
90.0 	-290.0   7.6
95.0 	-290.0   7.5075
100.0 	-290.0   7.41
105.0 	-290.0   7.3075
110.0 	-290.0   7.2
115.0 	-290.0   7.0875
120.0 	-290.0   6.97
125.0 	-290.0   6.8475
130.0 	-290.0   6.72
135.0 	-290.0   6.5875
140.0 	-290.0   6.45
145.0 	-290.0   6.3075
150.0 	-290.0   6.16
155.0 	-290.0   6.0075
160.0 	-290.0   5.85
165.0 	-290.0   5.6875
170.0 	-290.0   5.52
175.0 	-290.0   5.3475
180.0 	-290.0   5.17
